Nonres_Roof_Insulation,0.0,MediumSmooth,None,None,None,0.9,0.7,0.7,6.23478687961654,None,None,None,284
G01 16mm gypsum board,0.0159,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544

Core_ZN_ceiling
nonres_roof
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Nonres_Roof_Insulation,0.0,MediumSmooth,None,None,None,0.9,0.7,0.7,6.23478687961654,None,None,None,284
G01 16mm gypsum board,0.0159,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544

Attic_roof_north
AtticRoofDeck
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
F12 Asphalt shingles,0.0032,VeryRough,0.04,1120.0,1260.0,0.9,0.7,0.7,None,None,None,None,466
G02 16mm plywood,0.0159,Smooth,0.12,544.0,1210.0,0.9,0.7,0.7,None,None,None,None,427

Attic_roof_west
AtticRoofDeck
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
F12 Asphalt shingles,0.0032,VeryRough,0.04,1120.0,1260.0,0.9,0.7,0.7,None,None,None,None,466
G02 16mm plywood,0.0159,Smooth,0.12,544.0,1210.0,0.9,0.7,0.7,None,None,None,None,427

Attic_roof_east
AtticRoofDeck
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
F12 Asphalt shingles,0.0032,VeryRough,0.04,1120.0,1260.0,0.9,0.7,0.7,None,None,None,None,466
G02 16mm plywood,0.0159,Smooth,0.12,544.0,1210.0,0.9,0.7,0.7,None,None,None,None,427

Attic_roof_south
AtticRoofDeck
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
F12 Asphalt shingles,0.0032,VeryRough,0.04,1120.0,1260.0,0.9,0.7,0.7,None,None,None,None,466
G02 16mm plywood,0.0159,Smooth,0.12,544.0,1210.0,0.9,0.7,0.7,None,None,None,None,427

Perimeter_ZN_3_ceiling
nonres_roof
